case_number,total_matches,num_files,file_paths
CR-24-687985-A,2,1,out/2024/2024-687985_20251119_025048.json
CR-24-688110-A,4,2,out/2024/2024-688110_20251119_030957.json;out/obstructing_cases/out/2024/2024-688110_20251119_030957.json
CR-24-688129-A,2,1,out/2024/2024-688129_20251119_031058.json
CR-24-688174-A,3,1,out/2024/2024-688174_20251119_032115.json
CR-24-688175-A,6,1,out/2024/2024-688175_20251119_032006.json
CR-24-688189-A,3,1,out/2024/2024-688189_20251119_032458.json
CR-24-688314-A,4,1,out/2024/2024-688314_20251119_034632.json
CR-24-688328-A,3,1,out/2024/2024-688328_20251119_035159.json
CR-24-688341-A,3,1,out/2024/2024-688341_20251119_035212.json
CR-24-688355-A,2,1,out/2024/2024-688355_20251119_035257.json
CR-24-688393-A,3,1,out/2024/2024-688393_20251119_035854.json
CR-24-688631-A,3,1,out/2024/2024-688631_20251119_043824.json
CR-24-688633-A,3,1,out/2024/2024-688633_20251119_043811.json
CR-24-688647-A,3,1,out/2024/2024-688647_20251119_044306.json
CR-24-688648-A,3,1,out/2024/2024-688648_20251119_044209.json
CR-24-688663-A,6,1,out/2024/2024-688663_20251119_044559.json
CR-24-688671-A,6,1,out/2024/2024-688671_20251119_044429.json
CR-24-688677-A,6,1,out/2024/2024-688677_20251119_044650.json
CR-24-688722-A,5,2,out/jasmine_jackson_lio_amend_cases.csv;out/jasmine_jackson_prosecutor_hearing_issues.csv
CR-24-688723-A,6,1,out/2024/2024-688723_20251119_045731.json
CR-24-688728-A,3,1,out/2024/2024-688728_20251119_045752.json
CR-24-688776-A,2,1,out/2024/2024-688776_20251119_051247.json
CR-24-688824-A,3,1,out/2024/2024-688824_20251119_052255.json
CR-24-688834-A,3,1,out/2024/2024-688834_20251119_052555.json
CR-24-688866-A,4,1,out/2024/2024-688866_20251119_053445.json
CR-24-688949-A,3,1,out/2024/2024-688949_20251119_055558.json
CR-24-689065-A,6,1,out/2024/2024-689065_20251119_061618.json
CR-24-689092-A,3,1,out/2024/2024-689092_20251119_061953.json
CR-24-689109-A,9,1,out/2024/2024-689109_20251119_062523.json
CR-24-689110-A,3,1,out/2024/2024-689110_20251119_062746.json
CR-24-689239-A,3,1,out/2024/2024-689239_20251119_064310.json
CR-24-689274-A,3,1,out/2024/2024-689274_20251119_064924.json
CR-24-689286-A,3,1,out/2024/2024-689286_20251119_065605.json
CR-24-689323-A,3,1,out/2024/2024-689323_20251119_070032.json
CR-24-689324-A,3,1,out/2024/2024-689324_20251119_070047.json
CR-24-689332-A,3,1,out/2024/2024-689332_20251119_070738.json
CR-24-689341-A,3,1,out/2024/2024-689341_20251119_070722.json
CR-24-689444-A,3,1,out/2024/2024-689444_20251119_073034.json
CR-24-689445-A,2,1,out/2024/2024-689445_20251119_073036.json
CR-24-689461-A,3,1,out/2024/2024-689461_20251119_073021.json
CR-24-689691-A,6,1,out/2024/2024-689691_20251119_075410.json
CR-24-689705-A,3,1,out/2024/2024-689705_20251119_075939.json
CR-24-689708-A,3,1,out/2024/2024-689708_20251119_075953.json
CR-24-689720-A,3,1,out/2024/2024-689720_20251119_080652.json
CR-24-689980-A,3,1,out/2024/2024-689980_20251119_082443.json
CR-24-689989-A,3,1,out/2024/2024-689989_20251119_082704.json
CR-24-689998-A,2,1,out/2024/2024-689998_20251119_083148.json
CR-24-690027-A,6,2,out/2024/2024-690027_20251119_084505.json;out/obstructing_cases/out/2024/2024-690027_20251119_084505.json
CR-24-690038-A,3,1,out/2024/2024-690038_20251119_084504.json
CR-24-690070-A,3,1,out/2024/2024-690070_20251119_084822.json
CR-24-690100-A,3,1,out/2024/2024-690100_20251119_085602.json
CR-24-690164-A,3,1,out/2024/2024-690164_20251119_091406.json
CR-24-690170-A,3,1,out/2024/2024-690170_20251119_091520.json
CR-24-690179-A,3,1,out/2024/2024-690179_20251119_091741.json
CR-24-690205-A,2,1,out/2024/2024-690205_20251119_092537.json
CR-24-690218-A,3,1,out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2024/2024-690218_20251119_092510.json
CR-24-690219-A,2,1,out/2024/2024-690219_20251119_092525.json
CR-24-690266-A,3,1,out/2024/2024-690266_20251119_093725.json
CR-24-690273-A,2,1,out/2024/2024-690273_20251119_093908.json
CR-24-690297-A,3,1,out/2024/2024-690297_20251119_094401.json
CR-24-690306-A,2,1,out/2024/2024-690306_20251119_094444.json
CR-24-690329-A,2,1,out/2024/2024-690329_20251119_095122.json
CR-24-690437-A,3,1,out/2024/2024-690437_20251119_100800.json
CR-24-690468-A,3,1,out/2024/2024-690468_20251119_102004.json
CR-24-690512-A,4,1,out/2024/2024-690512_20251119_102334.json
CR-24-690548-A,6,2,out/2024/2024-690548_20251119_102921.json;out/obstructing_cases/out/2024/2024-690548_20251119_102921.json
CR-24-690583-A,3,1,out/2024/2024-690583_20251119_103228.json
CR-24-690619-A,3,1,out/2024/2024-690619_20251119_104032.json
CR-24-690623-A,2,1,out/2024/2024-690623_20251119_104022.json
CR-24-690636-A,6,2,out/2024/2024-690636_20251119_104305.json;out/obstructing_cases/out/2024/2024-690636_20251119_104305.json
CR-24-690705-A,3,1,out/2024/2024-690705_20251119_105302.json
CR-24-690770-A,3,1,out/2024/2024-690770_20251119_110136.json
CR-24-690795-A,3,1,out/2024/2024-690795_20251119_110316.json
CR-24-690807-A,3,1,out/2024/2024-690807_20251119_110625.json
CR-24-690864-A,5,1,out/2024/2024-690864_20251119_111307.json
CR-24-690885-A,4,1,out/2024/2024-690885_20251119_111946.json
CR-24-690898-A,3,1,out/2024/2024-690898_20251119_112027.json
CR-24-690957-A,3,1,out/2024/2024-690957_20251119_113255.json
CR-24-690976-A,3,1,out/2024/2024-690976_20251119_113549.json
CR-24-691095-A,2,1,out/2024/2024-691095_20251119_115135.json
CR-24-691253-A,6,1,out/2024/2024-691253_20251119_120807.json
CR-24-691262-A,3,1,out/2024/2024-691262_20251119_120810.json
CR-24-691568-A,3,1,out/2024/2024-691568_20251119_124430.json
CR-24-691721-A,3,1,out/2024/2024-691721_20251119_130439.json
CR-24-691751-A,2,1,out/2024/2024-691751_20251119_130912.json
CR-24-692151-A,3,1,out/2024/2024-688618_20251119_043852.json
CR-24-692230-A,3,1,out/2024/2024-692230_20251119_142823.json
CR-24-692251-A,3,1,out/2024/2024-692251_20251119_143311.json
CR-24-692309-A,6,1,out/2024/2024-692309_20251119_144008.json
CR-24-692341-A,6,1,out/2024/2024-692341_20251119_144539.json
CR-24-692379-A,3,1,out/2024/2024-692379_20251119_144952.json
CR-24-692381-A,3,1,out/2024/2024-692381_20251119_145114.json
CR-24-692440-A,3,1,out/2024/2024-692440_20251119_145941.json
CR-24-692484-A,3,1,out/2024/2024-692484_20251119_150407.json
CR-24-692500-A,2,1,out/2024/2024-692500_20251119_150534.json
CR-24-692515-A,6,2,out/2024/2024-692515_20251119_151139.json;out/obstructing_cases/out/2024/2024-692515_20251119_151139.json
CR-24-692528-A,6,1,out/2024/2024-692528_20251119_151556.json
CR-24-692531-A,2,1,out/2024/2024-692531_20251119_151702.json
CR-24-692544-A,3,1,out/2024/2024-692544_20251119_151720.json
CR-24-692729-A,3,1,out/2024/2024-692729_20251119_153919.json
CR-24-693949-A,3,1,out/2024/2024-693949_20251119_182628.json
CR-24-694425-A,2,1,out/2024/2024-694425_20251119_194600.json
CR-24-694578-A,2,1,out/2024/2024-694578_20251119_201131.json
CR-24-694599-A,6,1,out/2024/2024-694599_20251119_201348.json
CR-24-694689-A,6,2,out/2024/2024-694689_20251119_203315.json;out/obstructing_cases/out/2024/2024-694689_20251119_203315.json
CR-24-694763-A,6,1,out/2024/2024-694763_20251119_204713.json
CR-24-694764-A,3,1,out/2024/2024-694764_20251119_204618.json
CR-24-694813-A,3,1,out/2024/2024-694813_20251119_205351.json
CR-24-694938-A,6,1,out/2024/2024-694938_20251119_211500.json
